kk                     5 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
kaisa                  10 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
pekka                  16 sek
kaisa                  200 sek
viljami                1400 sek
martti                 2500 sek
